code1,code2,distance
ag,pf,0.5752
ag,pg,0.5109
ag,ph,0.5329
ag,pk,0.6693
ag,pl,0.6911
ag,pm,0.5916
ag,pn,0.602
ag,pr,0.635
ag,ps,0.5573
ag,pt,0.5888
ag,pw,0.8128
ag,py,0.6589
ag,qa,0.6781
ag,re,0.6578
ag,ro,0.4999
ag,rs,0.6015
ag,ru,0.6977
ag,rw,0.6505
ag,sa,0.6312
ag,sb,0.6152
ag,sc,0.5927
ag,sd,0.5778
ag,se,0.6514
ag,sg,0.6883
ag,sh,0.6334
ag,si,0.7248
ag,sj,0.5352
ag,sk,0.6863
ag,sl,0.6784
ag,sm,0.7949
ag,sn,0.5608
ag,so,0.7417
ag,sr,0.5693
ag,ss,0.5776
ag,st,0.5976
ag,sv,0.6977
ag,sx,0.6149
ag,sy,0.6104
ag,sz,0.5258
ag,tc,0.6377
ag,td,0.4973
ag,tf,0.6652
ag,tg,0.5364
ag,th,0.5874
ag,tj,0.6722
ag,tk,0.5982
ag,tl,0.5813
ag,tm,0.6197
ag,tn,0.5869
ag,to,0.6554
ag,tr,0.6232
ag,tt,0.4212
ag,tv,0.7006
ag,tw,0.6152
ag,tz,0.6101
ag,ua,0.628
ag,ug,0.5009
ag,um,0.5619
ag,us,0.5619
ag,uy,0.7347
ag,uz,0.6845
ag,va,0.759
ag,vc,0.6007
ag,ve,0.5275
ag,vg,0.6095
ag,vi,0.7797
ag,vn,0.6516
ag,vu,0.524
ag,wf,0.4697
ag,ws,0.419
ag,xk,0.6466
ag,ye,0.5954
ag,yt,0.8096
ag,za,0.5801
ag,zm,0.5985
ag,zw,0.5761
ai,ad,0.645
ai,ae,0.587
ai,af,0.5592
ai,ag,0.6441
ai,ai,0.0
ai,al,0.7535
ai,am,0.6493
ai,ao,0.5752
ai,aq,0.6819
ai,ar,0.6951
ai,as,0.6421
ai,at,0.6926
ai,au,0.2164
ai,aw,0.6352
ai,ax,0.5902
ai,az,0.6012
ai,ba,0.5873
ai,bb,0.4504
ai,bd,0.594
ai,be,0.685
ai,bf,0.5928
ai,bg,0.6703
ai,bh,0.7314
ai,bi,0.6609
ai,bj,0.6528
ai,bl,0.7987
ai,bm,0.5606
ai,bn,0.7181
ai,bo,0.5843
ai,bq,0.6376
ai,br,0.5735
ai,bs,0.5724
ai,bt,0.7318
ai,bv,0.5961
ai,bw,0.6447
ai,by,0.5877
ai,bz,0.5722
ai,ca,0.7663
ai,cc,0.6459
ai,cd,0.6202
ai,cf,0.6213
ai,cg,0.6835
ai,ch,0.7767
ai,ci,0.7032
ai,ck,0.2268
ai,cl,0.7111
ai,cm,0.6472
ai,cn,0.7411
ai,co,0.6318
ai,cr,0.6478
ai,cu,0.6225
ai,cv,0.6089
ai,cw,0.3889
ai,cx,0.4331
ai,cy,0.8563
ai,cz,0.682
ai,de,0.7261
ai,dj,0.6388
ai,dk,0.6809
ai,dm,0.5664
ai,do,0.5794
ai,dz,0.7246
ai,ec,0.6537
ai,ee,0.7222
ai,eg,0.6138
ai,eh,0.5899
ai,er,0.5876
ai,es,0.6638
ai,et,0.6108
ai,fi,0.6921
